AIRPORT_NAME,STATE,COUNTRY,MONTH_x,AIRPORT_SPIKE,COVID_MONTH,COVID_SPIKE
"Abilene, TX: Abilene Regional",TEXAS,USA,2019-12,0,2020-01,0.0
"Akron, OH: Akron-Canton Regional",OHIO,USA,2019-12,0,2020-01,0.0
"Albany, NY: Albany International",NEW YORK,USA,2019-12,0,2020-01,0.0
"Albuquerque, NM: Albuquerque International Sunport",NEW MEXICO,USA,2019-12,0,2020-01,0.0
"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",PENNSYLVANIA,USA,2019-12,0,2020-01,0.0
"Amarillo, TX: Rick Husband Amarillo International",TEXAS,USA,2019-12,0,2020-01,0.0
"Atlanta, GA: Hartsfield-Jackson Atlanta International",GEORGIA,USA,2019-12,981142,2020-01,0.0
"Atlantic City, NJ: Atlantic City International",NEW JERSEY,USA,2019-12,0,2020-01,0.0
"Augusta, GA: Augusta Regional at Bush Field",GEORGIA,USA,2019-12,0,2020-01,0.0
"Austin, TX: Austin - Bergstrom International",TEXAS,USA,2019-12,40916,2020-01,0.0
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",MARYLAND,USA,2019-12,98429,2020-01,0.0
"Bangor, ME: Bangor International",MAINE,USA,2019-12,446,2020-01,0.0
"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",LOUISIANA,USA,2019-12,0,2020-01,0.0
"Bellingham, WA: Bellingham International",WASHINGTON,USA,2019-12,0,2020-01,0.0
"Bend/Redmond, OR: Roberts Field",OREGON,USA,2019-12,0,2020-01,0.0
"Billings, MT: Billings Logan International",MONTANA,USA,2019-12,0,2020-01,0.0
"Birmingham, AL: Birmingham-Shuttlesworth International",ALABAMA,USA,2019-12,0,2020-01,0.0
"Bismarck/Mandan, ND: Bismarck Municipal",NORTH DAKOTA,USA,2019-12,0,2020-01,0.0
"Boise, ID: Boise Air Terminal",IDAHO,USA,2019-12,59,2020-01,0.0
"Boston, MA: Logan International",MASSACHUSETTS,USA,2019-12,583563,2020-01,0.0
"Bozeman, MT: Bozeman Yellowstone International",MONTANA,USA,2019-12,0,2020-01,0.0
"Bristol/Johnson City/Kingsport, TN: Tri Cities",TENNESSEE,USA,2019-12,0,2020-01,0.0
"Brownsville, TX: Brownsville South Padre Island International",TEXAS,USA,2019-12,0,2020-01,0.0
"Buffalo, NY: Buffalo Niagara International",NEW YORK,USA,2019-12,633,2020-01,0.0
"Burbank, CA: Bob Hope",CALIFORNIA,USA,2019-12,0,2020-01,73.0
"Burlington, VT: Burlington International",VERMONT,USA,2019-12,116,2020-01,0.0
"Camp Springs, MD: Joint Base Andrews",MARYLAND,USA,2019-12,0,2020-01,0.0
"Casper, WY: Casper/Natrona County International",WYOMING,USA,2019-12,0,2020-01,0.0
"Cedar Rapids/Iowa City, IA: The Eastern Iowa",IOWA,USA,2019-12,0,2020-01,0.0
"Charleston, SC: Charleston AFB/International",SOUTH CAROLINA,USA,2019-12,13,2020-01,0.0
"Charlotte, NC: Charlotte Douglas International",NORTH CAROLINA,USA,2019-12,264596,2020-01,0.0
"Chattanooga, TN: Lovell Field",TENNESSEE,USA,2019-12,0,2020-01,0.0
"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",WYOMING,USA,2019-12,0,2020-01,0.0
"Chicago, IL: Chicago Midway International",ILLINOIS,USA,2019-12,75353,2020-01,9.0
"Cincinnati, OH: Cincinnati/Northern Kentucky International",OHIO,USA,2019-12,18677,2020-01,0.0
"Cleveland, OH: Cleveland-Hopkins International",OHIO,USA,2019-12,10196,2020-01,0.0
"College Station/Bryan, TX: Easterwood Field",TEXAS,USA,2019-12,126,2020-01,0.0
"Colorado Springs, CO: City of Colorado Springs Municipal",COLORADO,USA,2019-12,68,2020-01,0.0
"Columbia, SC: Columbia Metropolitan",SOUTH CAROLINA,USA,2019-12,0,2020-01,0.0
"Columbus, GA: Columbus Airport",GEORGIA,USA,2019-12,0,2020-01,0.0
"Columbus, OH: John Glenn Columbus International",OHIO,USA,2019-12,5735,2020-01,0.0
"Corpus Christi, TX: Corpus Christi International",TEXAS,USA,2019-12,426,2020-01,0.0
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",TEXAS,USA,2019-12,781794,2020-01,0.0
"Dayton, OH: James M Cox/Dayton International",OHIO,USA,2019-12,0,2020-01,0.0
