data_dte,Airport Name,CITY,STATE,COUNTRY,Scheduled,Charter,Total
1/1/19,"Guam, TT: Guam International",GUAM ISLAND,#VALUE!,#VALUE!,212595,520,213115
1/1/19,"Pago Pago, TT: Pago Pago International",PAGO PAGO,#VALUE!,#VALUE!,8705,0,8705
1/1/19,"Saipan, TT: Francisco C. Ada Saipan International",SAIPAN,#VALUE!,#VALUE!,48069,0,48069
1/1/19,"San Juan, PR: Isla Grande",SAN JUAN,#VALUE!,#VALUE!,0,34,34
1/1/19,"San Juan, PR: Luis Munoz Marin International",SAN JUAN,#VALUE!,#VALUE!,71899,494,72393
1/1/19,"Kona, HI: Ellison Onizuka Kona International at Keahole",KONA,HAWAII,"HAWAII, USA",23979,0,23979
1/1/19,"Lihue, HI: Lihue Airport",LIHUE,KAUAI,"HAWAII, USA",11160,0,11160
1/1/19,"Kahului, HI: Kahului Airport",KAHULUI,MAUI,"HAWAII, USA",53935,10,53945
1/1/19,"Honolulu, HI: Daniel K Inouye International",HONOLULU,OAHU,"HAWAII, USA",459060,0,459060
1/1/19,"Hartford, CT: Bradley International",HARTFORD,CT/SPRINGFIELD,"MA, USA",8118,0,8118
1/1/19,"Bullhead City, AZ: Laughlin/Bullhead International",BULLHEAD CITY,AZ/LAUGHLIN,"NV, USA",0,930,930
1/1/19,"Huntsville, AL: Huntsville International-Carl T Jones Field",HUNTSVILLE/DECATUR,ALABAMA,USA,116,0,116
1/1/19,"Anchorage, AK: Ted Stevens Anchorage International",ANCHORAGE,ALASKA,USA,545,14,559
1/1/19,"Phoenix, AZ: Phoenix Sky Harbor International",PHOENIX,ARIZONA,USA,204889,176,205065
1/1/19,"Phoenix, AZ: Scottsdale",PHOENIX,ARIZONA,USA,0,48,48
1/1/19,"Tucson, AZ: Tucson International",TUCSON,ARIZONA,USA,0,4,4
1/1/19,"Burbank, CA: Bob Hope",BURBANK,CALIFORNIA,USA,0,6,6
1/1/19,"Fresno, CA: Fresno Yosemite International",FRESNO,CALIFORNIA,USA,21947,351,22298
1/1/19,"Palm Springs, CA: Palm Springs International",INDIO/PALM SPRINGS,CALIFORNIA,USA,63444,29,63473
1/1/19,"Long Beach, CA: Long Beach Airport",LONG BEACH,CALIFORNIA,USA,0,52,52
1/1/19,"Los Angeles, CA: Los Angeles International",LOS ANGELES,CALIFORNIA,USA,2079116,212,2079328
1/1/19,"Van Nuys, CA: Van Nuys Airport",LOS ANGELES,CALIFORNIA,USA,0,17,17
1/1/19,"Oakland, CA: Metro Oakland International",OAKLAND,CALIFORNIA,USA,48473,4,48477
1/1/19,"Ontario, CA: Ontario International",ONTARIO,CALIFORNIA,USA,26507,0,26507
