State,CITY,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
AL,Abbeville,0,0,14,1046,3060,6522,10527,14516,15803,17203,18228,23687,31396,33219,38494,37538,39409,38095,39771,42375,45971,51810,52430,55715,68549,78482,88940,86545,89703,87803,95774,101199,101673,106642,103689,108319,110440,101407,102413
AL,Alexander City,0,0,55,4380,11037,14604,21545,29864,33556,39230,47907,65471,85523,96891,116109,117476,125286,123746,132703,154811,186861,217149,215987,229486,285510,312567,351722,341947,355034,348648,376224,397300,402957,421572,410262,429374,441130,405972,409237
AL,Andalusia,0,0,10,553,1810,5273,16400,29248,38110,50269,61248,80338,100868,107088,124460,122095,128724,127900,138066,162278,185475,206385,205461,217948,244648,255734,287175,279460,290067,284661,309045,322046,321414,339661,331202,347063,354149,327410,330537
AL,Anniston,0,0,41,1873,4034,6094,22622,63789,94417,127090,168264,252159,338516,355404,435025,429881,451057,441259,463553,508344,592637,683857,674109,706765,811801,870951,998289,971073,1006894,985155,1051849,1090729,1103315,1190369,1161913,1216401,1244178,1148083,1159628
AL,Asheboro,0,0,9,1177,3413,4249,9153,13617,17644,23919,28424,35586,43159,44298,52660,53204,56441,56056,59340,68154,85688,100865,99894,106346,130609,139728,156919,152475,157660,153715,165176,172444,174719,183338,181194,189896,195183,180729,182893
AL,Athens,0,0,124,1654,4514,12640,35054,70218,88779,120030,155794,235520,330871,349688,404151,399493,420029,411088,432358,479824,548353,618411,624523,660290,792151,872836,987677,961369,1000548,988300,1063232,1110846,1120594,1173235,1144377,1197864,1224910,1129504,1139948
AL,Cape Coral,0,0,509,7711,14176,23251,58748,99368,164853,197831,217054,278920,379216,407500,471294,467793,494850,487541,514385,574800,647275,727507,762979,804877,975771,1040478,1165003,1130388,1175915,1161767,1252112,1314317,1315699,1371650,1334655,1396524,1431271,1321821,1334525
AL,Clanton,0,0,48,1043,2359,4408,13228,28737,42582,55047,62718,80853,102925,103977,123019,123572,134802,133979,141563,158994,183345,204245,207604,222987,263477,289731,336492,332469,345243,337070,358209,370713,368941,385069,374064,389201,394986,361517,364146
AL,Columbus,0,0,23,570,10067,21453,30881,42546,50906,60634,70483,90533,111924,110190,127276,126213,132065,129215,135893,151530,167139,184308,186723,199434,233445,269964,304978,295975,307161,299899,316773,326670,333896,350689,341966,357040,364132,334515,337166
AL,Cullman,0,0,57,1079,2304,8071,22848,43326,53793,69289,110602,183025,245830,245794,284241,284769,301988,298054,314499,351320,411905,473833,477078,508978,601037,670942,758453,736108,764794,752207,813055,851023,865698,913901,890173,928938,950746,875697,882737
AL,Dallas,0,0,14,593,4610,15438,33643,45846,51728,57178,62695,78686,93497,92607,107601,105700,110589,108182,113442,122678,136738,152030,157807,166070,203767,228034,258959,252055,261561,257622,283142,301316,300610,313879,305438,319065,326442,304165,308579
AL,Daphne,0,0,96,2877,7492,12103,54402,120262,150627,197611,233249,347962,498393,534564,625590,621098,661392,654819,711605,905658,1054750,1147279,1134782,1195056,1420199,1520177,1712357,1666070,1734700,1728276,1876062,1957720,1955905,2040322,1987001,2081058,2121444,1943016,1956871
AL,Dayton,0,0,182,5348,27800,83873,153216,223083,254984,298342,347838,441158,581324,613236,718793,720255,762327,751921,789217,867131,964250,1050942,1031534,1090327,1394086,1504610,1691513,1645612,1717591,1708787,1881581,1985660,1985333,2077284,2025889,2132352,2200397,2041541,2068077
AL,DeKalb,0,0,21,1122,5468,10993,35529,60532,69197,94569,127997,186802,235194,233346,266799,262586,274583,268991,283969,313748,350687,388764,385022,409750,468636,511517,579208,562515,582836,568940,604145,629326,631743,658969,642996,670922,681902,626235,630614
